City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
157,Kudahuvadhoo,MV,82.31,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
168,Carnarvon,AU,75.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
169,Dubti,ET,83.37,clear sky,11.7361,41.0853,degu Shiferaw
172,Hithadhoo,MV,82.53,clear sky,-0.6,73.0833,Scoop Guest House
173,Laguna,US,78.3,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
177,Saint George,US,75.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
183,Sao Joao Da Barra,BR,78.89,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
190,Port-Gentil,GA,78.98,moderate rain,-0.7193,8.7815,Fengshui Residence
193,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
194,Waw,SS,85.59,scattered clouds,7.7029,27.9953,Universal Gab Hotel
199,Celestun,MX,80.94,scattered clouds,20.8667,-90.4,Posada Lilia
203,Nabire,ID,76.26,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
206,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
207,Estelle,US,75.2,scattered clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
209,Manaure,CO,86.79,overcast clouds,11.7751,-72.4445,Hotel Palaaima
214,Vao,NC,79.72,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
216,Tadepallegudem,IN,77.45,clear sky,16.8333,81.5,Hotel Selection Grand
220,Honiara,SB,79.74,overcast clouds,-9.4333,159.95,Heritage Park Hotel
231,Sumbe,AO,78.1,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
232,Tual,ID,82.2,broken clouds,-5.6667,132.75,Grand Vilia Hotel
234,Bandarbeyla,SO,78.82,clear sky,9.4942,50.8122,JABIR HOTEL
235,Port Hedland,AU,78.85,few clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
236,Manokwari,ID,79.3,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
239,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
245,Charters Towers,AU,75.07,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
252,Piura,PE,82.47,overcast clouds,-5.2,-80.6333,Casa Andina Premium Piura
253,Vaitape,PF,80.67,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
258,Salalah,OM,79.79,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
261,Ures,MX,85.14,clear sky,29.4333,-110.4,Hacienda Quinta Napoles
262,Coruripe,BR,78.58,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
263,Le Port,RE,75.16,moderate rain,-20.9373,55.2919,KORBEY D'OR OUEST
282,Itarema,BR,77.0,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
286,Isla Mujeres,MX,84.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
287,Atotonilco El Alto,MX,88.57,broken clouds,20.55,-102.5167,Hotel Plaza
291,Altamira,BR,86.09,scattered clouds,-3.2033,-52.2064,Requinte Hotel
292,Belmonte,BR,78.93,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
294,Sola,VU,79.47,light rain,-13.8833,167.55,Leumerus Bungalows
299,Bambous Virieux,MU,76.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
303,Benguela,AO,76.51,light rain,-12.5763,13.4055,Hotel Praia Morena
304,Dicabisagan,PH,76.26,light rain,17.0818,122.4157,Nancy Montanes Bernardo
316,Moroni,KM,79.11,clear sky,-11.7022,43.2551,Hotel les Arcades
319,Bani,DO,81.84,clear sky,18.2833,-70.3333,Hospedaje Henriquez
326,Sinnamary,GF,77.13,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
327,Bengkulu,ID,75.38,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
328,Salinas,US,77.56,few clouds,36.6777,-121.6555,Laurel Inn & Conference Center
337,Pires Do Rio,BR,76.01,scattered clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
341,Sabang,ID,83.23,overcast clouds,5.8933,95.3214,Hotel Citra
343,Zinder,NE,81.0,clear sky,13.8072,8.9881,Hotel de Ville
344,Jalor,IN,79.45,clear sky,25.35,72.6167,Hotel Mansarovar
347,Asyut,EG,75.97,scattered clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
348,Maumere,ID,78.75,scattered clouds,-8.6199,122.2111,Sylvia Hotel
350,Banda Aceh,ID,80.8,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
353,Meulaboh,ID,78.22,heavy intensity rain,4.1363,96.1285,Kost Pria
356,Ternate,ID,80.67,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
359,Verrettes,HT,82.53,overcast clouds,19.05,-72.4667,"La Verrettienne,Hôtel/Restaurant/Club"
362,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
363,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
366,Qena,EG,78.1,broken clouds,26.1615,32.7183,"Grand hotel ""Quena"""
369,Dingle,PH,75.33,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
374,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
377,Maunabo,PR,81.7,scattered clouds,18.0072,-65.8993,Maunacaribe
382,Kalmunai,LK,77.49,scattered clouds,7.4167,81.8167,VS Villa
385,Ranong,TH,77.99,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
386,Acarau,BR,77.68,overcast clouds,-2.8856,-40.12,castelo pizzaria
387,Tautira,PF,80.82,light rain,-17.7333,-149.15,Pension Oaoa
388,Roseland,US,79.9,few clouds,38.4221,-122.728,Best Western Garden Inn
393,Ukiah,US,78.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
400,Tucupita,VE,81.41,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
401,Puerto Leguizamo,CO,78.06,overcast clouds,-0.1934,-74.7819,la casona de juancho
