City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Atotonilco El Alto,MX,20.55,-102.5167,88.57,6,64,10.65,broken clouds
288,Matucana,PE,-11.85,-76.4,60.69,95,100,6.17,overcast clouds
289,Ankang,CN,32.68,109.0172,52.0,72,99,0.67,overcast clouds
290,Nobres,BR,-14.7203,-56.3275,63.77,88,100,5.37,overcast clouds
291,Altamira,BR,-3.2033,-52.2064,86.09,74,40,5.75,scattered clouds
292,Belmonte,BR,-15.8631,-38.8828,78.93,78,1,7.65,clear sky
293,Abu Samrah,SY,35.3029,37.1841,62.51,39,97,4.99,overcast clouds
294,Sola,VU,-13.8833,167.55,79.47,100,100,1.14,light rain
295,Chapais,CA,49.7834,-74.8492,20.98,87,100,12.62,overcast clouds
296,Fairbanks,US,64.8378,-147.7164,25.25,30,0,17.27,clear sky
297,Vostok,RU,46.4856,135.8833,18.18,87,9,4.54,clear sky
298,Lompoc,US,34.6391,-120.4579,74.79,66,0,13.8,clear sky
299,Bambous Virieux,MU,-20.3428,57.7575,76.21,94,75,17.27,moderate rain
300,Thung Song,TH,8.1645,99.6804,74.01,91,94,1.32,overcast clouds
301,Sao Pedro Do Sul,BR,-29.6206,-54.1789,65.05,67,0,5.93,clear sky
302,Peace River,CA,56.2501,-117.286,35.91,86,75,5.75,broken clouds
303,Benguela,AO,-12.5763,13.4055,76.51,86,99,4.09,light rain
304,Dicabisagan,PH,17.0818,122.4157,76.26,84,85,4.97,light rain
305,Rafai,CF,4.95,23.9167,74.01,60,27,2.71,scattered clouds
306,Tiznit,MA,29.5833,-9.5,59.65,69,0,1.63,clear sky
307,Biloela,AU,-24.4167,150.5,72.19,69,0,3.13,clear sky
308,Beringovskiy,RU,63.05,179.3167,25.86,95,100,9.64,snow
309,Gamba,GA,-2.65,10.0,76.95,92,100,6.73,light rain
310,Kungurtug,RU,50.5994,97.5228,13.05,86,98,2.15,overcast clouds
311,Airai,TL,-8.9266,125.4092,57.02,75,55,1.66,broken clouds
312,Dusti,TJ,37.3481,68.664,62.26,28,88,2.86,overcast clouds
313,Sieghartskirchen,AT,48.2553,16.0122,39.51,79,100,3.0,overcast clouds
314,Satuk,TR,41.2263,32.3836,56.73,57,60,6.17,broken clouds
315,Winnemucca,US,40.973,-117.7357,60.85,21,0,5.75,clear sky
316,Moroni,KM,-11.7022,43.2551,79.11,81,8,4.38,clear sky
317,Ilhabela,BR,-23.7781,-45.3581,71.69,92,99,9.08,overcast clouds
318,Ulladulla,AU,-35.35,150.4667,59.9,77,99,19.82,light rain
319,Bani,DO,18.2833,-70.3333,81.84,67,9,14.47,clear sky
320,Puerto Ayacucho,VE,5.6639,-67.6236,92.07,44,91,5.59,overcast clouds
321,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,46,0,13.42,clear sky
322,Iwaki,JP,37.05,140.8833,38.01,59,9,5.64,clear sky
323,Inawashiro,JP,37.5667,140.1167,32.52,70,43,4.03,scattered clouds
324,Lawang,ID,-7.8353,112.6947,70.34,89,100,3.24,overcast clouds
325,Rawlins,US,41.7911,-107.2387,49.35,28,29,26.4,scattered clouds
326,Sinnamary,GF,5.3833,-52.95,77.13,90,100,9.73,light rain
327,Bengkulu,ID,-3.8004,102.2655,75.38,85,15,4.54,few clouds
328,Salinas,US,36.6777,-121.6555,77.56,67,20,11.5,few clouds
329,Lasa,IT,46.6166,10.7002,38.28,96,100,4.56,overcast clouds
330,Elverum,NO,60.8819,11.5623,28.6,92,47,2.35,scattered clouds
331,Lermontovka,RU,47.1453,134.3383,25.77,80,14,2.77,few clouds
332,Stokmarknes,NO,68.5646,14.9108,31.96,93,100,12.66,light snow
333,Berdigestyakh,RU,62.0989,126.6992,18.82,98,100,3.58,overcast clouds
334,Juneau,US,58.3019,-134.4197,40.84,94,100,9.22,light rain
335,Raudeberg,NO,61.9875,5.1352,32.67,82,31,4.54,scattered clouds
